vw,f,vs,Ra
-3.506557897,-4.199705078,3.600949474,-0.185366187
-2.764620553,-3.688879454,3.824109403,-0.301208025
-2.253794929,-3.352407217,4.006423681,-0.449942382
-3.107434473,-4.214139863,4.007410906,-0.328665054
-3.497212566,-4.17916095,3.591131383,-0.186707207
-2.582868182,-3.67569617,4.003520574,-0.326458331
-2.649402822,-3.344025338,3.601934175,-0.366420906
-2.985018489,-3.678337251,3.598646099,-0.276760623
-3.115728069,-4.221876545,4.007278349,-0.328991539
-3.238163557,-4.18831141,3.838172006,-0.189774603
-2.674382728,-3.359323278,3.593108434,-0.358850654
-2.594405194,-3.697100302,4.011356274,-0.325456168
-3.004799026,-3.697796493,3.602916014,-0.27348487
-2.425182063,-3.348278813,3.825245758,-0.375965356
-2.566752285,-3.661587151,4.007724228,-0.330328514
-2.5780666,-3.674093985,4.00449123,-0.326653875
-2.763520121,-3.691780664,3.827795674,-0.303055762
-2.79182351,-3.70690756,3.815202114,-0.295581757
-2.25801405,-3.360074556,4.007931662,-0.446931471
-2.655737341,-3.353645456,3.606723435,-0.362367566
-2.450473993,-3.698874088,3.897679535,-0.313172969
-3.124979495,-4.215954972,3.999948756,-0.325507455
-2.591098277,-3.679529894,3.99887854,-0.324570114
-2.641817826,-3.339584582,3.600995567,-0.365855123
-2.65780107,-3.355875154,3.608442585,-0.362316924
-2.969917105,-3.676451933,3.607929695,-0.279897112
-3.012884239,-3.707404519,3.60628465,-0.274214156
-2.742402646,-3.678343167,3.833908919,-0.304331436
-2.255322938,-3.349162726,3.999935114,-0.447447921
-3.536309928,-4.202341017,3.589081049,-0.183991293
-2.422009361,-3.343387637,3.822977536,-0.376976338
-2.598696,-3.69805164,4.005336315,-0.322983583
-2.452929135,-3.369727252,3.816376059,-0.365577071
-2.26000069,-3.358567926,4.003213053,-0.446195628
-2.592171784,-3.691449602,4.004921331,-0.322103784
-2.666404012,-4.145319042,4.006055707,-0.278730209
-3.09146392,-4.188291825,4.005423102,-0.332250016
-2.251726395,-3.353885283,4.009812916,-0.450533249
-2.261602263,-3.360517539,4.00337173,-0.445742507
-3.017180692,-3.703018326,3.602504171,-0.273942671
-2.42333695,-3.35113176,3.831068049,-0.374521167
-3.247470584,-4.188299878,3.82806836,-0.186199647
-3.286404843,-4.210656536,3.821375622,-0.183629309
-2.606972266,-3.698372134,3.996645953,-0.319853799
-2.710148076,-2.91980025,3.989418713,-0.332710948
-2.436257624,-3.362189052,3.829121742,-0.372176844
-3.003613488,-3.694952843,3.603700019,-0.276961258
-2.259757715,-3.361018225,4.011118724,-0.449311203
-3.268259668,-4.200837488,3.822767747,-0.183933494
-2.574455216,-3.674720664,4.012061216,-0.330527606
-3.102749121,-4.204964469,4.006441438,-0.329409158
-3.088994961,-4.187989987,4.008202085,-0.333703292
